what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351091384546
java.vm.version,sysinfo,,,"23.1-b03",1351091384546
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1351091385225
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351091385325
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1351091385386
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1351091385559
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351091396683
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1351091396994
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1351091397680
closed,editor,edu.buffalo.cse.green,3.5.0,"edu.buffalo.cse.green.editor.diagrameditor",1351091400500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091419003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091432034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091435686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091442801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091444011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091513595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091569589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091656467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091663740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091917353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351091956128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351092693981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351092695809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351092697509
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351092698165
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1351092701270
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1351092701297
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1351092701302
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1351092701306
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1351092701310
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1351092701314
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1351092701318
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1351092701323
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1351092701327
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1351092701342
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1351092701362
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1351092701429
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.400.v201103082016,"org.eclipse.jst.ws.consumption.ui",1351092701437
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.600.v201103082016,"org.eclipse.jst.ws.consumption",1351092701589
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1351531864579
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1351531864581
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1351531864582
